epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,497.229,2.03791,3.8762,1.17842,0.47051,0.32405,0.27063,0.12221,1.8112,2.29896,1.10737,0.000329502,0.000329502,0.000329502
2,991.382,1.89101,1.94313,1.12099,0.43985,0.35673,0.30082,0.14892,1.72893,2.54697,1.0888,0.000649711,0.000649711,0.000649711
3,1484.38,1.86608,1.76484,1.11245,0.49463,0.36914,0.31572,0.14825,1.82102,1.98137,1.1059,0.00095672,0.00095672,0.00095672
4,1980.04,1.83823,1.62998,1.09917,0.60145,0.34627,0.37769,0.18611,1.7123,1.98453,1.08068,0.0009406,0.0009406,0.0009406
5,2473.33,1.80188,1.5658,1.08619,0.61504,0.39591,0.41195,0.20501,1.75112,1.59131,1.07639,0.0009208,0.0009208,0.0009208
